scenario_id,num_runs,HR_collision_pedestrian,HR_collision_vehicle,HR_collision_static,HR_red_light,HR_stop_sign,HR_off_road,HR_lane_invasion,R_collision_pedestrian,R_collision_vehicle,R_collision_static,R_red_light,R_stop_sign,R_off_road,R_lane_invasion,S_collision_pedestrian,S_collision_vehicle,S_collision_static,S_red_light,S_stop_sign,S_off_road,S_lane_invasion,HR_avg,R_avg,T_exec_avg,completed_runs,completion_rate,tool
scenario_000,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0046,0,0.0,ScenarioFuzzLLM
scenario_001,10,0.0,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.6,0.0,0.0,0.0,0.36,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.3429,0.2586,60.0074,0,0.0,ScenarioFuzzLLM
scenario_002,10,0.0,1.0,0.0,0.0,0.0,0.2,1.0,0.0,0.6,0.0,0.0,0.0,0.18,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.3143,0.2329,60.0029,0,0.0,ScenarioFuzzLLM
scenario_003,10,0.0,1.0,0.3,0.0,0.0,0.8,1.0,0.0,0.6,0.195,0.0,0.0,0.72,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4429,0.3379,60.0038,1,0.1,ScenarioFuzzLLM
scenario_004,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0045,1,0.1,ScenarioFuzzLLM
scenario_005,10,0.0,1.0,0.1,0.0,0.0,0.4,1.0,0.0,0.6,0.065,0.0,0.0,0.36,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.3571,0.2679,60.0041,0,0.0,ScenarioFuzzLLM
scenario_006,10,0.0,1.0,0.0,0.0,0.0,0.6,1.0,0.0,0.6,0.0,0.0,0.0,0.54,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.3714,0.2843,60.004,0,0.0,ScenarioFuzzLLM
scenario_007,10,0.0,1.0,0.3,0.0,0.0,1.0,1.0,0.0,0.6,0.195,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4714,0.3636,60.0082,0,0.0,ScenarioFuzzLLM
scenario_008,10,0.0,1.0,0.3,0.0,0.0,1.0,1.0,0.0,0.6,0.195,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4714,0.3636,60.0055,0,0.0,ScenarioFuzzLLM
scenario_009,10,0.0,1.0,0.8,0.0,0.0,0.9,1.0,0.0,0.6,0.52,0.0,0.0,0.81,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5286,0.3971,60.007,0,0.0,ScenarioFuzzLLM
scenario_010,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0048,0,0.0,ScenarioFuzzLLM
scenario_011,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0044,0,0.0,ScenarioFuzzLLM
scenario_012,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0058,0,0.0,ScenarioFuzzLLM
scenario_013,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0039,1,0.1,ScenarioFuzzLLM
scenario_014,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0033,0,0.0,ScenarioFuzzLLM
scenario_015,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0054,0,0.0,ScenarioFuzzLLM
scenario_016,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.003,0,0.0,ScenarioFuzzLLM
scenario_017,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0046,0,0.0,ScenarioFuzzLLM
scenario_018,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0051,0,0.0,ScenarioFuzzLLM
scenario_019,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0045,0,0.0,ScenarioFuzzLLM
scenario_020,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0063,0,0.0,ScenarioFuzzLLM
